"id","name","title","gender","birth_date","death_date","family_self","family_parents","dist_to_I1208","dist_to_I1128","dist_to_I610","dist_to_I3012","dist_to_I3023","dist_to_I3034","dist_to_I452","dist_to_I444","dist_to_I603","dist_to_I52","min_offset_to_royal","min_dist_to_royal"
"I199","Frederick Charles of Prussia","Prince","M",1835,,"F68","",11,9,4,15,9,18,7,8,4,7,5.5,4
"I200","Maria Anna of Anhalt",,"F",1835,,"F68","",11,9,4,15,9,18,7,8,4,7,5.5,4
"I201","John  (Campbell)","Duke of Argyll","M",1845,1914,"F69","",10,10,6,14,10,17,6,7,6,6,5.5,6
"I202","Frederick  (Hanover)","Duke of York","M",1763,1827,"F185","F39",9,9,7,11,9,14,7,8,7,6,5,6
"I203","William IV Henry (Hanover)","King of England","M",1765,1837,"F73","F39",10,9,7,11,9,15,7,8,7,6,5,6
"I204","Charlotte Augusta Matild (Hanover)","Princess Royal","F",1766,1828,"F82","F39",8,9,7,9,9,13,7,8,7,6,5,6
"I205","Ferdinand ",,"M",1785,1851,"F1370","F1147",11,7,7,13,7,16,7,8,7,7,4.5,7
"I206","Mary ",,"F",1799,1860,"F1368","",10,8,6,14,8,17,6,7,6,6,5.5,6
"I207","Charles  (Cavendish-Bentin)","Reverend","M",1817,1865,"F71","F115",14,11,10,17,11,20,8,10,10,3,5,3
"I208","Caroline Louisa (Burnaby)",,"F",1832,1918,"F71","F116",14,11,10,17,11,20,8,10,10,3,5,3
"I209","Augusta Sophia (Hanover)",,"F",1768,1840,"","F39",10,9,7,11,9,15,7,8,7,6,5,6
